tag-name,handshake-X25519,handshake-X25519-stderr,handshake-SECP256R1,handshake-SECP256R1-stderr
v1.3.46,2561501.39,4511.138132343335,2926283.97,3782.9170772789607
v1.3.45,2587746.1,5050.803526135467,2930849.77,3357.4077539603527
v1.3.44,2546197.13,2147.681231593506,2926364.45,3358.2360024406194
v1.3.43,2569015.91,3417.1000962725134,2944780.07,4319.796891608362
v1.3.42,2599111.86,3436.8300331218693,2973270.48,13158.149364993502
v1.3.41,2603247.27,3571.646864051508,2940306.62,2844.272217478484
v1.3.40,2561974.42,4465.046706739097,2938567.95,13789.963870782223
v1.3.39,2571194.49,2435.3465137106264,2983551.41,4782.192527354308
v1.3.38,2582073.52,3385.435612492411,2950980.28,3011.623499120209
v1.3.29,2568746.03,3093.785663577835,2936262.74,5069.055093644177
v1.3.28,2573284.8,3890.8698883388593,2940818.73,14659.292021063007
v1.3.27,2640095.55,13434.978621666794,3000432.81,2857.9745228850484
v1.3.26,2648917.51,7087.736306595106,3009437.69,4601.8895430623525
v1.3.25,2625313.32,2877.4198950165273,2990525.5,3089.896010118535
v1.3.24,2659371.21,4018.054286114723,3015012.64,15477.134665745758
v1.3.23,2649536.51,4576.877602970685,3028611.84,3370.5978166368755
v1.3.22,2623500.78,2785.226815633635,3003165.82,4299.004932327001
v1.3.21,2670820.96,13886.518243678309,2985054.31,3908.438910674356
v1.3.20,2618918.31,3237.4652284149365,3035857.81,9029.959575559238
v1.3.19,2659327.26,4130.907947831986,3019660.74,8619.647020754981
v1.3.18,2625110.68,2473.7095826481477,3005545.45,5661.843091962834
v1.3.17,2674935.19,2103.713111453875,3058865.66,6683.154842996599
v1.3.16,2602856.1,2619.824341312474,2984129.42,3515.116147111153
